Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS
2.96,52.58890661196682,30.183247677702344,34.1485017476609,1559.6593550119526,84.26822936537289
2.98,52.85268849591541,31.351156246550524,34.76208678805114,1639.071634701348,90.20954557794674
3.26,57.92729620347919,51.59277099995083,36.54107547144719,1857.0437215373527,111.19002639953064
3.35,48.08112403824545,26.995201522263994,29.780768152450328,1396.017814949286,86.38697580945892
3.38,50.023166515181856,30.196439655062452,31.83931014485081,1646.4875643850244,105.86531739014914
3.89,50.3144667804951,31.363856992785948,32.49652561044026,1721.9000608864555,110.31326901214473
3.22,53.358687733155605,49.795223978181035,32.49652561044026,1721.9000608864558,106.16046935973073
3.72,54.0887817107883,50.232834464912486,33.1407103575044,1794.1455737166452,110.80368319937297
4.28,54.95205915376767,51.60085652052105,34.39290181854389,1930.5427681612057,118.64716374405144
4.77,49.47148394581421,69.14547188958034,31.187211496060364,1734.329026261897,109.59026150345052
2.96,37.50220281618735,66.31741695436637,24.043104549537688,1383.8965622132057,59.91896407419241
3.19,48.27651832589877,68.05736267898264,29.80062328878374,1581.0945991059612,100.47456690039236
3.48,53.55611267954138,30.18262072192864,34.1485017476609,1559.6593550119526,94.59301293782798
5.31,54.436233474934134,32.40835276461758,35.3650276984198,1714.8102937901906,106.07710621825484
5.62,54.8541518148425,31.565339535686544,35.96956836577275,1657.0395026318927,106.45074324926094
4.32,54.46917902125624,39.3035377406941,35.87303067110444,1640.3029016685364,89.59022484086381
7.92,69.45726764280516,60.70045236520145,49.76626913804169,2544.1649500341123,147.4641919748979
6.41,68.78147191715351,58.53318913549234,47.58599431145682,2377.287454929111,137.53297430622882
9.6,76.31664935997044,84.50674547872296,51.838710604238614,2862.1112562976696,190.13598200195145
8.46,70.81711893956812,62.674004540602176,51.43745297854474,2736.5762136302865,168.3734353935773
7.82,71.22589421152014,61.7162300106627,50.1808917030178,2678.7323052893557,172.13900839010495
7.92,62.42598066972487,42.539430620492325,45.0275842234513,2328.485043831946,151.65109977514666
7.0,66.20827955757666,58.6624989656838,45.48542282083349,2474.8078854262217,161.70528775600363
6.66,66.20827955757666,58.6624989656838,45.48542282083349,2474.8078854262217,161.70528775600363
7.44,62.56580792365542,62.91428004223864,43.840096730504605,2460.093180939183,125.14808111134744
9.31,64.51774330082581,66.0991416479872,46.64385403072951,2752.4842558933856,150.54501324959065
9.88,67.30211669017416,76.44527825584176,46.64385403072951,2752.4842558933856,158.95563241367492
9.05,67.46359373330417,76.91389422747474,47.09492143628654,2798.2473262646413,154.1673853020186
9.28,67.48716417439292,98.36270887971772,47.11641730649733,2816.446260840241,193.64440998355815
9.28,63.22928489047573,87.7352154449711,44.81678534377495,2581.1386906111275,157.49473110969808
8.72,63.22928489047573,87.7352154449711,44.81678534377495,2581.1386906111275,157.49473110969808
8.59,64.29191330995288,107.04196884254202,45.77263828708152,2696.7564631304745,228.05117570998667
9.06,63.306605735919675,62.732360139299495,45.409119902283955,2463.6330420148774,128.7333540446334
7.8,63.306605735919675,62.732360139299495,45.409119902283955,2463.6330420148774,128.7333540446334
9.2,64.60550454311881,106.95324243260687,45.77263828708152,2696.7564631304745,233.33017053666998
8.97,66.1105816318643,76.39075256128845,45.26368964291357,2610.3857988661784,146.87856790648476
9.53,63.1227330969079,64.6050021755245,45.26368964291357,2610.3857988661784,135.8378095742703
9.53,67.48652512614598,76.04844587442685,45.72837309964133,2658.5959713594066,167.88065131565986
2.46,53.83820455161984,68.9631451691091,34.79120337915893,1669.9512762162585,121.26511938006665
4.11,53.83820455161984,68.9631451691091,34.79120337915893,1669.9512762162585,121.26511938006665
4.72,45.898266690101835,91.07509722600032,28.381988841693246,1447.0675632337625,103.78854413275127
5.1,46.759766695785025,91.31509547751399,29.117345292110677,1532.326026852494,114.96471162556757
3.27,46.759766695785025,91.31509547751399,29.117345292110677,1532.326026852494,114.96471162556757
2.14,48.31090636938541,91.67803911061961,29.83458233510233,1613.0844902161202,129.59220518366521
4.17,46.24369100208818,91.46879190383741,29.117345292110677,1532.326026852494,102.79625119488573
3.64,53.90666904354346,73.57516001589406,33.183941835924195,1694.7940377899286,108.33751970595091
6.12,57.90751261259404,82.66197112538774,34.42233069113711,1956.828255354386,147.0569408334065
7.19,58.453790489045105,82.92632150093552,35.03111982880364,2020.691797617722,153.62407995137758
6.44,58.453790489045105,82.92632150093552,35.03111982880364,2020.691797617722,153.62407995137758
5.34,58.12533743900402,83.09553554768473,35.03111982880364,2020.691797617722,146.26901669919818
7.46,58.662874888800545,83.50037248783107,35.62950831417688,2082.5978634786384,152.3309282069793
4.48,58.662874888800545,83.50037248783107,35.62950831417688,2082.5978634786384,152.3309282069793
