Activity,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
3.35,20.387858001464778,67.50674099673306,121.04081199349312,1396.017814949286,26.995201522263994,29.780768152450328
3.38,21.028939669036234,72.45640018314461,153.37281275576655,1646.4875643850244,30.196439655062452,31.83931014485081
3.89,21.234175598623825,73.61426459932883,161.28230624319806,1721.9000608864555,31.363856992785948,32.49652561044026
3.22,21.23417559862383,80.39654623178782,157.82616760210936,1721.9000608864558,49.795223978181035,32.49652561044026
3.72,21.435519057835872,82.05820757852317,166.5949013168648,1794.1455737166452,50.232834464912486,33.1407103575044
4.28,21.82723356024138,84.59535739920955,181.73092041830697,1930.5427681612057,51.60085652052105,34.39290181854389
4.77,20.649488719071464,71.99896889886686,160.99562615912632,1734.329026261897,69.14547188958034,31.187211496060364
2.96,17.389834514517673,48.50487445092503,82.667864670593,1383.8965622132057,66.31741695436637,24.043104549537688
3.19,20.210351997433982,68.39162751389968,145.66501969171293,1581.0945991059612,68.05736267898264,29.80062328878374
3.48,22.604004990912365,78.06362608795469,136.64135706597216,1559.6593550119526,30.18262072192864,34.1485017476609
5.31,22.957196920035898,80.72641934645682,155.98150446186267,1714.8102937901906,32.40835276461758,35.3650276984198
5.62,23.278009029568086,81.68457632564423,156.55558951435958,1657.0395026318927,31.565339535686544,35.96956836577275
4.32,23.5385225447577,78.90166025325449,127.57707194979496,1640.3029016685364,39.3035377406941,35.87303067110444
7.92,28.443887838160077,118.80551528864306,251.57078758149916,2544.1649500341123,60.70045236520145,49.76626913804169
6.41,27.762678649961813,115.69943223715491,232.2242560961422,2377.287454929111,58.53318913549234,47.58599431145682
9.6,28.904145582868434,136.6085242215873,331.91902746739646,2862.1112562976696,84.50674547872296,51.838710604238614
8.46,28.88996379025341,123.4112854361383,290.12683048946565,2736.5762136302865,62.674004540602176,51.43745297854474
7.82,28.458517592346503,123.69959322487685,296.38314798760183,2678.7323052893557,61.7162300106627,50.1808917030178
7.92,26.494803745988076,102.28054132385104,246.03757209230736,2328.485043831946,42.539430620492325,45.0275842234513
7.0,26.51166308567721,111.53025459712714,270.35673587055237,2474.8078854262217,58.6624989656838,45.48542282083349
6.66,26.51166308567721,111.53025459712714,270.35673587055237,2474.8078854262217,58.6624989656838,45.48542282083349
7.44,25.915577641248014,102.9417041952386,205.24682836943217,2460.093180939183,62.91428004223864,43.840096730504605
9.31,26.709738835167403,109.70232301606016,252.14665399725098,2752.4842558933856,66.0991416479872,46.64385403072951
9.88,26.709738835167403,115.70496910297327,266.29450462350235,2752.4842558933856,76.44527825584176,46.64385403072951
9.05,26.837589613902626,116.43354284792677,261.669333436164,2798.2473262646413,76.91389422747474,47.09492143628654
9.28,26.846836616044296,116.48067960447348,317.2605203329924,2816.446260840241,98.36270887971772,47.11641730649733
9.28,26.195381293794885,105.01339771010174,255.93031831326337,2581.1386906111275,87.7352154449711,44.81678534377495
8.72,26.195381293794885,105.01339771010174,255.93031831326337,2581.1386906111275,87.7352154449711,44.81678534377495
8.59,26.469331933337433,107.44858964462959,349.5903096988002,2696.7564631304745,107.04196884254202,45.77263828708152
9.06,26.713221844050675,104.78096272997306,211.43612675873882,2463.6330420148774,62.732360139299495,45.409119902283955
7.8,26.713221844050675,104.78096272997306,211.43612675873882,2463.6330420148774,62.732360139299495,45.409119902283955
9.2,26.469331933337436,108.63187478415348,361.2324254475325,2696.7564631304745,106.95324243260687,45.77263828708152
8.97,26.318649161100172,111.68560554126928,239.9183590926497,2610.3857988661784,76.39075256128845,45.26368964291357
9.53,26.318649161100172,105.37734356881465,223.3181615842301,2610.3857988661784,64.6050021755245,45.26368964291357
9.53,26.450299516134145,114.74512770754147,273.5162612784566,2658.5959713594066,76.04844587442685,45.72837309964133
2.46,22.794799373923777,77.84834688996291,173.29964574997507,1669.9512762162585,68.9631451691091,34.79120337915893
4.11,22.794799373923777,77.84834688996291,173.29964574997507,1669.9512762162585,68.9631451691091,34.79120337915893
4.72,19.768318297709683,62.29586849864122,145.94462225769115,1447.0675632337625,91.07509722600032,28.381988841693246
5.1,20.000110085202813,64.30758238341727,162.96304945173685,1532.326026852494,91.31509547751399,29.117345292110677
3.27,20.000110085202813,64.30758238341727,162.96304945173685,1532.326026852494,91.31509547751399,29.117345292110677
2.14,20.226650198353994,66.89334858190311,184.11928964110535,1613.0844902161202,91.67803911061961,29.83458233510233
4.17,20.000110085202813,63.638865931127334,147.19932243940082,1532.326026852494,91.46879190383741,29.117345292110677
3.64,21.622075620274323,80.62640309476791,163.5118227335777,1694.7940377899286,73.57516001589406,33.183941835924195
6.12,21.84120889357651,90.13886067618115,227.72181769614593,1956.828255354386,82.66197112538774,34.42233069113711
7.19,22.031660661953218,91.54072385556057,239.70645776185023,2020.691797617722,82.92632150093552,35.03111982880364
6.44,22.031660661953218,91.54072385556057,239.70645776185023,2020.691797617722,82.92632150093552,35.03111982880364
5.34,22.031660661953218,91.07219240251108,228.2057074362125,2020.691797617722,83.09553554768473,35.03111982880364
7.46,22.218875451713856,92.45452539762452,239.77798627399474,2082.5978634786384,83.50037248783107,35.62950831417688
4.48,22.218875451713856,92.45452539762452,239.77798627399474,2082.5978634786384,83.50037248783107,35.62950831417688
