Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.41,68.78147191715351,137.53297430622882,47.58599431145682,27.762678649961813,1401.0522405142372
9.6,76.31664935997044,190.13598200195145,51.838710604238614,28.904145582868434,1591.4191036771078
8.46,70.81711893956812,168.3734353935773,51.43745297854474,28.88996379025341,1541.196908380198
7.82,71.22589421152014,172.13900839010495,50.1808917030178,28.458517592346503,1520.9429226251582
7.92,62.42598066972487,151.65109977514666,45.0275842234513,26.494803745988076,1380.6830954997342
7.0,66.20827955757666,161.70528775600363,45.48542282083349,26.51166308567721,1442.5126088886118
6.66,66.20827955757666,161.70528775600363,45.48542282083349,26.51166308567721,1442.5126088886118
7.44,62.56580792365542,125.14808111134744,43.840096730504605,25.915577641248014,1454.8102398489439
9.31,64.51774330082581,150.54501324959065,46.64385403072951,26.709738835167403,1566.9281716382966
9.88,67.30211669017416,158.95563241367492,46.64385403072951,26.709738835167403,1566.9281716382966
9.05,67.46359373330417,154.1673853020186,47.09492143628654,26.837589613902626,1584.1200136201023
9.28,67.48716417439292,193.64440998355815,47.11641730649733,26.846836616044296,1595.2739671823515
9.28,63.22928489047573,157.49473110969808,44.81678534377495,26.195381293794885,1506.5904573014693
8.72,63.22928489047573,157.49473110969808,44.81678534377495,26.195381293794885,1506.5904573014693
8.59,64.29191330995288,228.05117570998667,45.77263828708152,26.469331933337433,1555.0368648873568
9.06,63.306605735919675,128.7333540446334,45.409119902283955,26.713221844050675,1455.1725479677839
7.8,63.306605735919675,128.7333540446334,45.409119902283955,26.713221844050675,1455.1725479677839
9.2,64.60550454311881,233.33017053666998,45.77263828708152,26.469331933337436,1555.0368648873566
8.97,66.1105816318643,146.87856790648476,45.26368964291357,26.318649161100172,1512.9463485867318
9.53,63.1227330969079,135.8378095742703,45.26368964291357,26.318649161100172,1512.9463485867318
9.53,67.48652512614598,167.88065131565986,45.72837309964133,26.450299516134145,1531.3648134380073
2.46,53.83820455161984,121.26511938006665,34.79120337915893,22.794799373923777,1116.2172010488825
4.11,53.83820455161984,121.26511938006665,34.79120337915893,22.794799373923777,1116.2172010488825
4.72,45.898266690101835,103.78854413275127,28.381988841693246,19.768318297709683,1028.078766634659
5.1,46.759766695785025,114.96471162556757,29.117345292110677,20.000110085202813,1066.9654194854202
3.27,46.759766695785025,114.96471162556757,29.117345292110677,20.000110085202813,1066.9654194854202
2.14,48.31090636938541,129.59220518366521,29.83458233510233,20.226650198353994,1103.2070669275263
4.17,46.24369100208818,102.79625119488573,29.117345292110677,20.000110085202813,1066.9654194854202
3.64,53.90666904354346,108.33751970595091,33.183941835924195,21.622075620274323,1122.6605827417043
6.12,57.90751261259404,147.0569408334065,34.42233069113711,21.84120889357651,1241.3061181865776
7.19,58.453790489045105,153.62407995137758,35.03111982880364,22.031660661953218,1268.4062881363202
6.44,58.453790489045105,153.62407995137758,35.03111982880364,22.031660661953218,1268.4062881363202
5.34,58.12533743900402,146.26901669919818,35.03111982880364,22.031660661953218,1268.4062881363202
7.46,58.662874888800545,152.3309282069793,35.62950831417688,22.218875451713856,1294.3954281735764
4.48,58.662874888800545,152.3309282069793,35.62950831417688,22.218875451713856,1294.3954281735764
