Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
8.72,87.7352154449711,255.93031831326337,44.81678534377495,105.01339771010174,2581.1386906111275,26.195381293794885
8.59,107.04196884254202,349.5903096988002,45.77263828708152,107.44858964462959,2696.7564631304745,26.469331933337433
9.06,62.732360139299495,211.43612675873882,45.409119902283955,104.78096272997306,2463.6330420148774,26.713221844050675
7.8,62.732360139299495,211.43612675873882,45.409119902283955,104.78096272997306,2463.6330420148774,26.713221844050675
9.2,106.95324243260687,361.2324254475325,45.77263828708152,108.63187478415348,2696.7564631304745,26.469331933337436
8.97,76.39075256128845,239.9183590926497,45.26368964291357,111.68560554126928,2610.3857988661784,26.318649161100172
9.53,64.6050021755245,223.3181615842301,45.26368964291357,105.37734356881465,2610.3857988661784,26.318649161100172
9.53,76.04844587442685,273.5162612784566,45.72837309964133,114.74512770754147,2658.5959713594066,26.450299516134145
2.46,68.9631451691091,173.29964574997507,34.79120337915893,77.84834688996291,1669.9512762162585,22.794799373923777
4.11,68.9631451691091,173.29964574997507,34.79120337915893,77.84834688996291,1669.9512762162585,22.794799373923777
4.72,91.07509722600032,145.94462225769115,28.381988841693246,62.29586849864122,1447.0675632337625,19.768318297709683
5.1,91.31509547751399,162.96304945173685,29.117345292110677,64.30758238341727,1532.326026852494,20.000110085202813
3.27,91.31509547751399,162.96304945173685,29.117345292110677,64.30758238341727,1532.326026852494,20.000110085202813
2.14,91.67803911061961,184.11928964110535,29.83458233510233,66.89334858190311,1613.0844902161202,20.226650198353994
4.17,91.46879190383741,147.19932243940082,29.117345292110677,63.638865931127334,1532.326026852494,20.000110085202813
3.64,73.57516001589406,163.5118227335777,33.183941835924195,80.62640309476791,1694.7940377899286,21.622075620274323
6.12,82.66197112538774,227.72181769614593,34.42233069113711,90.13886067618115,1956.828255354386,21.84120889357651
7.19,82.92632150093552,239.70645776185023,35.03111982880364,91.54072385556057,2020.691797617722,22.031660661953218
6.44,82.92632150093552,239.70645776185023,35.03111982880364,91.54072385556057,2020.691797617722,22.031660661953218
5.34,83.09553554768473,228.2057074362125,35.03111982880364,91.07219240251108,2020.691797617722,22.031660661953218
7.46,83.50037248783107,239.77798627399474,35.62950831417688,92.45452539762452,2082.5978634786384,22.218875451713856
4.48,83.50037248783107,239.77798627399474,35.62950831417688,92.45452539762452,2082.5978634786384,22.218875451713856
