Activity,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
2.96,84.26822936537289,1056.169750133596,22.604004990912365,75.61163234912998,34.1485017476609
2.98,90.20954557794674,1093.1189070353041,22.781969850914958,76.72189369078424,34.76208678805114
3.26,111.19002639953064,1191.198441279818,23.29984333283908,89.44481138668691,36.54107547144719
3.35,86.38697580945892,976.7679129056453,20.387858001464778,67.50674099673306,29.780768152450328
3.38,105.86531739014914,1095.848899115494,21.028939669036234,72.45640018314461,31.83931014485081
3.89,110.31326901214473,1130.2915857533676,21.234175598623825,73.61426459932883,32.49652561044026
3.22,106.16046935973073,1130.2915857533676,21.23417559862383,80.39654623178782,32.49652561044026
3.72,110.80368319937297,1162.754116548992,21.435519057835872,82.05820757852317,33.1407103575044
4.28,118.64716374405144,1222.735992833348,21.82723356024138,84.59535739920955,34.39290181854389
4.77,109.59026150345052,1148.3061461383586,20.649488719071464,71.99896889886686,31.187211496060364
2.96,59.91896407419241,995.0915662607708,17.389834514517673,48.50487445092503,24.043104549537688
3.19,100.47456690039236,1079.5427277204933,20.210351997433982,68.39162751389968,29.80062328878374
3.48,94.59301293782798,1056.169750133596,22.604004990912365,78.06362608795469,34.1485017476609
5.31,106.07710621825484,1127.7260059278133,22.957196920035898,80.72641934645682,35.3650276984198
5.62,106.45074324926094,1097.1248148797756,23.278009029568086,81.68457632564423,35.96956836577275
4.32,89.59022484086381,1118.7730979405133,23.5385225447577,78.90166025325449,35.87303067110444
7.92,147.4641919748979,1465.6928091013122,28.443887838160077,118.80551528864306,49.76626913804169
6.41,137.53297430622882,1401.0522405142372,27.762678649961813,115.69943223715491,47.58599431145682
9.6,190.13598200195145,1591.4191036771078,28.904145582868434,136.6085242215873,51.838710604238614
8.46,168.3734353935773,1541.196908380198,28.88996379025341,123.4112854361383,51.43745297854474
7.82,172.13900839010495,1520.9429226251582,28.458517592346503,123.69959322487685,50.1808917030178
7.92,151.65109977514666,1380.6830954997342,26.494803745988076,102.28054132385104,45.0275842234513
7.0,161.70528775600363,1442.5126088886118,26.51166308567721,111.53025459712714,45.48542282083349
6.66,161.70528775600363,1442.5126088886118,26.51166308567721,111.53025459712714,45.48542282083349
7.44,125.14808111134744,1454.8102398489439,25.915577641248014,102.9417041952386,43.840096730504605
9.31,150.54501324959065,1566.9281716382966,26.709738835167403,109.70232301606016,46.64385403072951
9.88,158.95563241367492,1566.9281716382966,26.709738835167403,115.70496910297327,46.64385403072951
9.05,154.1673853020186,1584.1200136201023,26.837589613902626,116.43354284792677,47.09492143628654
9.28,193.64440998355815,1595.2739671823515,26.846836616044296,116.48067960447348,47.11641730649733
9.28,157.49473110969808,1506.5904573014693,26.195381293794885,105.01339771010174,44.81678534377495
8.72,157.49473110969808,1506.5904573014693,26.195381293794885,105.01339771010174,44.81678534377495
8.59,228.05117570998667,1555.0368648873568,26.469331933337433,107.44858964462959,45.77263828708152
9.06,128.7333540446334,1455.1725479677839,26.713221844050675,104.78096272997306,45.409119902283955
7.8,128.7333540446334,1455.1725479677839,26.713221844050675,104.78096272997306,45.409119902283955
9.2,233.33017053666998,1555.0368648873566,26.469331933337436,108.63187478415348,45.77263828708152
8.97,146.87856790648476,1512.9463485867318,26.318649161100172,111.68560554126928,45.26368964291357
9.53,135.8378095742703,1512.9463485867318,26.318649161100172,105.37734356881465,45.26368964291357
9.53,167.88065131565986,1531.3648134380073,26.450299516134145,114.74512770754147,45.72837309964133
2.46,121.26511938006665,1116.2172010488825,22.794799373923777,77.84834688996291,34.79120337915893
4.11,121.26511938006665,1116.2172010488825,22.794799373923777,77.84834688996291,34.79120337915893
4.72,103.78854413275127,1028.078766634659,19.768318297709683,62.29586849864122,28.381988841693246
5.1,114.96471162556757,1066.9654194854202,20.000110085202813,64.30758238341727,29.117345292110677
3.27,114.96471162556757,1066.9654194854202,20.000110085202813,64.30758238341727,29.117345292110677
2.14,129.59220518366521,1103.2070669275263,20.226650198353994,66.89334858190311,29.83458233510233
4.17,102.79625119488573,1066.9654194854202,20.000110085202813,63.638865931127334,29.117345292110677
3.64,108.33751970595091,1122.6605827417043,21.622075620274323,80.62640309476791,33.183941835924195
6.12,147.0569408334065,1241.3061181865776,21.84120889357651,90.13886067618115,34.42233069113711
7.19,153.62407995137758,1268.4062881363202,22.031660661953218,91.54072385556057,35.03111982880364
6.44,153.62407995137758,1268.4062881363202,22.031660661953218,91.54072385556057,35.03111982880364
5.34,146.26901669919818,1268.4062881363202,22.031660661953218,91.07219240251108,35.03111982880364
7.46,152.3309282069793,1294.3954281735764,22.218875451713856,92.45452539762452,35.62950831417688
4.48,152.3309282069793,1294.3954281735764,22.218875451713856,92.45452539762452,35.62950831417688
