Activity,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
3.35,121.04081199349312,976.7679129056453,29.780768152450328,20.387858001464778
3.38,153.37281275576655,1095.848899115494,31.83931014485081,21.028939669036234
3.89,161.28230624319806,1130.2915857533676,32.49652561044026,21.234175598623825
3.22,157.82616760210936,1130.2915857533676,32.49652561044026,21.23417559862383
3.72,166.5949013168648,1162.754116548992,33.1407103575044,21.435519057835872
4.28,181.73092041830697,1222.735992833348,34.39290181854389,21.82723356024138
4.77,160.99562615912632,1148.3061461383586,31.187211496060364,20.649488719071464
2.96,82.667864670593,995.0915662607708,24.043104549537688,17.389834514517673
3.19,145.66501969171293,1079.5427277204933,29.80062328878374,20.210351997433982
3.48,136.64135706597216,1056.169750133596,34.1485017476609,22.604004990912365
5.31,155.98150446186267,1127.7260059278133,35.3650276984198,22.957196920035898
5.62,156.55558951435958,1097.1248148797756,35.96956836577275,23.278009029568086
4.32,127.57707194979496,1118.7730979405133,35.87303067110444,23.5385225447577
7.92,251.57078758149916,1465.6928091013122,49.76626913804169,28.443887838160077
6.41,232.2242560961422,1401.0522405142372,47.58599431145682,27.762678649961813
9.6,331.91902746739646,1591.4191036771078,51.838710604238614,28.904145582868434
8.46,290.12683048946565,1541.196908380198,51.43745297854474,28.88996379025341
7.82,296.38314798760183,1520.9429226251582,50.1808917030178,28.458517592346503
7.92,246.03757209230736,1380.6830954997342,45.0275842234513,26.494803745988076
7.0,270.35673587055237,1442.5126088886118,45.48542282083349,26.51166308567721
6.66,270.35673587055237,1442.5126088886118,45.48542282083349,26.51166308567721
7.44,205.24682836943217,1454.8102398489439,43.840096730504605,25.915577641248014
9.31,252.14665399725098,1566.9281716382966,46.64385403072951,26.709738835167403
9.88,266.29450462350235,1566.9281716382966,46.64385403072951,26.709738835167403
9.05,261.669333436164,1584.1200136201023,47.09492143628654,26.837589613902626
9.28,317.2605203329924,1595.2739671823515,47.11641730649733,26.846836616044296
9.28,255.93031831326337,1506.5904573014693,44.81678534377495,26.195381293794885
8.72,255.93031831326337,1506.5904573014693,44.81678534377495,26.195381293794885
8.59,349.5903096988002,1555.0368648873568,45.77263828708152,26.469331933337433
9.06,211.43612675873882,1455.1725479677839,45.409119902283955,26.713221844050675
7.8,211.43612675873882,1455.1725479677839,45.409119902283955,26.713221844050675
9.2,361.2324254475325,1555.0368648873566,45.77263828708152,26.469331933337436
8.97,239.9183590926497,1512.9463485867318,45.26368964291357,26.318649161100172
9.53,223.3181615842301,1512.9463485867318,45.26368964291357,26.318649161100172
9.53,273.5162612784566,1531.3648134380073,45.72837309964133,26.450299516134145
2.46,173.29964574997507,1116.2172010488825,34.79120337915893,22.794799373923777
4.11,173.29964574997507,1116.2172010488825,34.79120337915893,22.794799373923777
4.72,145.94462225769115,1028.078766634659,28.381988841693246,19.768318297709683
5.1,162.96304945173685,1066.9654194854202,29.117345292110677,20.000110085202813
3.27,162.96304945173685,1066.9654194854202,29.117345292110677,20.000110085202813
2.14,184.11928964110535,1103.2070669275263,29.83458233510233,20.226650198353994
4.17,147.19932243940082,1066.9654194854202,29.117345292110677,20.000110085202813
3.64,163.5118227335777,1122.6605827417043,33.183941835924195,21.622075620274323
6.12,227.72181769614593,1241.3061181865776,34.42233069113711,21.84120889357651
7.19,239.70645776185023,1268.4062881363202,35.03111982880364,22.031660661953218
6.44,239.70645776185023,1268.4062881363202,35.03111982880364,22.031660661953218
5.34,228.2057074362125,1268.4062881363202,35.03111982880364,22.031660661953218
7.46,239.77798627399474,1294.3954281735764,35.62950831417688,22.218875451713856
4.48,239.77798627399474,1294.3954281735764,35.62950831417688,22.218875451713856
