Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
8.15,3673.329393472428,530.9691408158914,26363.810799999996,440.5067999999999,60.80658960330297,59.931643194833335,2182.781837946296,5863.854551316469,2333.5438293020256,339.25558801932203,245.84982003000002,39.997661469858066,162.7768453352415,1345.6440279292674,9914.1709,24.313891469394264,96.78279668215833
5.55,2022.4448637099583,222.75514367316921,8101.306999999999,170.90099999999995,44.867260801608516,66.69901347796775,1318.2581580643791,2784.572969298883,634.51852475,165.01789338712737,124.93721341999998,62.771937706528256,64.57136466536652,956.113731426241,3756.2577000000006,19.513477942059566,60.0652486467841
6.07,2174.5479444079765,262.28831124236524,9109.312,183.90599999999995,45.89053391180466,67.02635098434203,1411.319627621447,3020.421197858835,774.8945950000001,191.33662181293448,131.46413805999998,62.79769274989507,65.69307603380621,1000.6864127172288,4260.2602,19.751254602611326,62.27181449098781
6.37,3321.86414980736,492.12455270232607,19189.361999999997,313.9559999999999,53.51751404340992,79.89135147578962,1875.08245454621,5037.869539088423,1848.1658432351685,330.62922011513666,237.61801106000004,65.5316645716761,151.23736019322632,1209.6938110896965,7284.275199999997,21.070702411277548,81.14098397234284
6.7,2389.454288194701,375.91092316112685,11825.761999999999,225.41999999999996,48.27651832589877,68.05736267898266,1581.0945991059612,3499.148492708619,1206.5652112500002,268.13718967640284,148.16205853999998,62.895624578552926,72.9021049021589,1079.5427277204933,5268.265199999999,20.210351997433982,68.39162751389968
2.7,2169.194037976688,211.4240758782761,9560.108,223.38,50.8416677914314,26.980444358077946,1292.47117710901,3054.0234077924156,654.6577929375,152.49627499743224,79.09121726999999,19.693317693691252,61.33693720619342,926.0197891913127,3927.475500000001,22.052551960385305,70.88264314343814
2.87,2303.1622874137324,250.05974984728348,10568.113,236.385,51.6441609207177,27.779807506558143,1387.2635883867922,3270.4979080361754,792.513849125,179.00551269417275,85.61814190999999,19.951691409703784,62.51670952531182,973.3281548424735,4431.478,22.239416663542077,72.76189857336048
4.96,2530.4588124896004,428.44481789443364,12833.766999999998,238.42499999999995,49.050505516529704,68.55106704106494,1659.481440489254,3710.545956333448,1399.5618880000002,304.81551060752173,156.34935581999997,62.94270230227651,75.39910408071142,1114.9846323233883,5772.2676999999985,20.432279872959747,70.22186092307722
2.74,2389.454288194701,375.91092316112685,11825.761999999999,225.41999999999996,48.27651832589877,68.05736267898266,1581.0945991059612,3499.148492708619,1206.5652112500002,268.13718967640284,148.16205853999998,62.895624578552926,72.9021049021589,1079.5427277204933,5268.265199999999,20.210351997433982,68.39162751389968
2.96,2509.403606865237,310.30269407516727,12584.123,262.395,52.58890661196682,30.183247677702344,1559.6593550119526,3638.1783582627586,1033.3052710625002,219.5437638931178,102.28285374999999,20.885643775381038,67.3252764329194,1056.169750133596,5439.482999999999,22.604004990912365,75.61163234912998
2.98,2562.4884972759487,332.832286201804,13592.127999999999,275.4,52.85268849591541,31.351156246550524,1639.071634701348,3775.23719076782,1136.103819761719,234.27530129197027,110.76026830999999,21.341192735168484,69.3760171738867,1093.1189070353041,5943.485499999999,22.781969850914958,76.72189369078424
3.26,3379.303457356439,482.1569669461345,20648.162999999997,366.4349999999999,57.92729620347919,51.59277099995083,1857.0437215373527,5191.660798518043,1860.1639068105317,323.5304200703904,191.77201491,34.681583716637356,149.88494870834913,1191.198441279818,7455.492999999998,23.29984333283908,89.44481138668691
3.35,2286.492847393357,318.6058564011808,10421.289999999999,214.76099999999997,48.08112403824545,26.995201522263994,1396.017814949286,3266.7799663136175,964.8382893906253,231.65549238833066,84.28270183,19.112253753329828,61.77424734199726,976.7679129056453,4410.7978,20.387858001464778,67.50674099673306
3.38,2598.6653853654225,407.37799897858184,13445.305,253.77599999999995,50.023166515181856,30.196439655062452,1646.4875643850244,3818.525126209791,1351.1966441406255,288.82190443966397,107.47433830999998,20.371573844756206,67.77818955287671,1095.848899115494,5922.805299999999,21.028939669036234,72.45640018314461
3.89,2648.2677968530515,426.7504136739306,14453.31,266.78099999999995,50.3144667804951,31.363856992785948,1721.9000608864555,3949.330097563446,1454.64867925,300.313605114971,115.95175286999998,20.849618462369687,69.81562784368623,1130.2915857533676,6426.807799999999,21.234175598623825,73.61426459932883
3.22,3270.049566730981,454.818573303691,17784.89,303.2969999999999,53.358687733155605,49.795223978181035,1721.9000608864558,4879.338138227151,1618.8048157693486,312.2386810619441,173.73865435,34.08345978185739,146.19876830438946,1130.2915857533676,6426.807799999998,21.23417559862383,80.39654623178782
3.72,3331.5521490827355,477.3925927247277,18792.894999999997,316.3019999999999,54.0887817107883,50.232834464912486,1794.1455737166452,5017.672593771239,1751.5948545962522,323.8398506140436,180.26557899,34.17063116042957,146.72356411020505,1162.754116548992,6930.810299999997,21.435519057835872,82.05820757852317
4.28,3435.906182311889,513.8852313145782,20808.905,342.3119999999999,54.95205915376767,51.60085652052105,1930.5427681612057,5264.714945592544,1985.1049298107296,342.3764105329148,196.93029083000002,34.500968411276254,148.8351611619915,1222.735992833348,7938.815299999997,21.82723356024138,84.59535739920955
4.77,2429.1079210219814,411.946729436374,13349.667999999998,255.96899999999994,49.47148394581421,69.14547188958034,1734.329026261897,3643.93282726109,1392.3549854101564,290.2075674633797,165.16234509999995,63.0053714858271,74.67762571607261,1148.3061461383586,6276.270199999998,20.649488719071464,71.99896889886686
2.96,1971.998800906446,164.5088636724865,7684.635,130.81499999999997,37.50220281618735,66.31741695436637,1383.8965622132057,2727.3364921229463,462.90594600000003,119.06929571762963,121.24517936999999,62.6969993107102,59.32319258469782,995.0915662607708,3884.8801000000003,17.389834514517673,48.50487445092503
3.19,2389.454288194701,363.75611121682203,11825.761999999999,225.41999999999996,48.27651832589877,68.05736267898264,1581.0945991059612,3499.148492708619,1178.0660585000003,257.21956100787224,148.16205854,62.895624578552926,72.90125023098373,1079.5427277204933,5268.265199999999,20.210351997433982,68.39162751389968
3.48,2497.4442679333442,360.4035864030962,13284.562999999998,277.89899999999994,53.55611267954138,30.18262072192864,1559.6593550119526,3717.1565111007903,1215.7508955625,254.4351433857517,102.31606238999998,20.879563521739176,70.05337700820817,1056.169750133596,5439.482999999999,22.604004990912365,78.06362608795469
5.31,2675.957377334459,412.18613063213184,15300.572999999999,303.9089999999999,54.436233474934134,32.40835276461758,1714.8102937901906,4044.4329303477766,1459.351733640625,287.5026955992919,118.98077422999998,21.73718563014107,74.66000507740327,1127.7260059278133,6447.4879999999985,22.957196920035898,80.72641934645682
5.62,2577.785552694551,413.59051181184145,14685.443000000001,308.9069999999999,54.8541518148425,31.565339535686544,1657.0395026318927,3886.413553870265,1464.6196832500002,288.4457333251809,115.24238862999997,21.31482198842864,71.99693381047052,1097.1248148797756,6186.8454999999985,23.278009029568086,81.68457632564423
4.32,2709.6563025648984,338.35839195601795,14357.321399999997,283.6997999999999,54.46917902125624,39.3035377406941,1640.3029016685364,3986.571553251676,1123.9330681289066,241.35562808896825,120.21919043,30.71518325305349,82.7925786351545,1118.7730979405133,5770.810999999999,23.5385225447577,78.90166025325449
7.92,3810.7356328001256,677.9362269770118,36010.248999999996,668.7629999999999,69.45726764280516,60.70045236520145,2544.1649500341123,6511.800545686885,3656.7194939480746,404.2118826638489,313.72852255,37.091674165474096,165.64346841460736,1465.6928091013122,14125.660800000001,28.443887838160077,118.80551528864306
6.41,3725.979965129382,633.5067930159504,32285.793999999998,614.244,68.78147191715351,58.53318913549234,2377.287454929111,6225.511424680947,3275.138915977901,380.85042181486386,281.6777791,36.57706435723219,162.33854436949946,1401.0522405142372,12370.2933,27.762678649961813,115.69943223715491
9.6,4716.672265789521,985.1636484878428,50429.884,848.3340000000004,76.31664935997044,84.50674547872296,2862.1112562976696,8363.328399733147,5770.015192986763,576.2307581331216,479.22713645999977,48.97382022713539,254.87135532163518,1591.4191036771078,17410.318300000006,28.904145582868434,136.6085242215873
8.46,3994.784955636237,783.038400364614,41050.27399999999,733.7880000000001,70.81711893956812,62.674004540602176,2736.5762136302865,6989.493138851916,4415.175079316972,461.94984200654704,344.73435471,37.554341242065156,170.03257440735416,1541.196908380198,16141.670800000004,28.88996379025341,123.4112854361383
7.82,3989.5351990037357,810.0901971454301,40042.269,720.7830000000001,71.22589421152014,61.7162300106627,2678.7323052893557,6951.802388707047,4534.078908423103,476.60073483262187,329.3815317399999,37.33221820732259,169.78308982363728,1520.9429226251582,15394.308300000002,28.458517592346503,123.69959322487685
7.92,3296.870383458111,646.5352962399834,28206.18,518.0579999999999,62.42598066972487,42.539430620492325,2328.485043831946,5532.94728671379,3052.751063492891,408.0273866243868,214.16926478,25.57052973954584,97.4552256082092,1380.6830954997342,11845.6106,26.494803745988076,102.28054132385104
7.0,3884.1196457535393,742.1029138688937,34561.774999999994,593.5889999999999,66.20827955757666,58.6624989656838,2474.8078854262217,6574.506605820585,3786.214932891702,450.2820381972007,288.27239433000005,36.44256914503116,164.22765978167658,1442.5126088886118,13114.258100000001,26.51166308567721,111.53025459712714
6.66,3884.1196457535393,742.1029138688937,34561.774999999994,593.5889999999999,66.20827955757666,58.6624989656838,2474.8078854262217,6574.506605820585,3786.214932891702,450.2820381972007,288.27239433000005,36.44256914503116,164.22765978167658,1442.5126088886118,13114.258100000001,26.51166308567721,111.53025459712714
7.44,3764.2572484164343,564.2435538576684,31701.7424,524.8277999999999,62.56580792365542,62.91428004223864,2460.093180939183,6256.7553457102085,2714.339094416475,353.8220334576642,290.42843264,40.62837602480082,164.85063395836005,1454.8102398489439,12566.2035,25.915577641248014,102.9417041952386
9.31,4007.2446975115026,680.2309606612748,38757.777400000006,615.8628000000001,64.51774330082581,66.0991416479872,2752.4842558933856,6912.569503179391,3560.048427452327,415.4648590908741,340.04946655999987,41.30496063865352,171.6216041363849,1566.9281716382966,15590.218500000003,26.709738835167403,109.70232301606016
9.88,4331.156498746647,763.0157215678995,41781.7924,654.8778000000001,67.30211669017416,76.44527825584176,2752.4842558933856,7477.44674180203,4006.7251764907173,464.2773343192603,396.2921883599999,46.537330673888626,214.0859856961732,1566.9281716382966,15590.218500000003,26.709738835167403,115.70496910297327
9.05,4349.280038800448,737.2972031806104,42789.797399999996,667.8828000000001,67.46359373330417,76.91389422747474,2798.2473262646413,7545.083422766828,3978.4659887121907,441.9833973222395,404.76960291999995,46.630912828304666,214.75654665156222,1584.1200136201023,16094.221000000003,26.837589613902626,116.43354284792677
9.28,4369.68747414438,890.8234423128991,42967.60140000001,668.1888000000001,67.48716417439292,98.36270887971772,2816.446260840241,7578.4572531434,4622.416808181207,551.1272916514496,460.06103112999983,69.03779619004821,234.03283737351546,1595.2739671823515,16187.043400000006,26.846836616044296,116.48067960447348
9.28,3861.272028897744,683.413490783428,33895.55640000001,551.1437999999998,63.22928489047573,87.7352154449711,2581.1386906111275,6485.174064478284,3335.3572350200084,427.37750906664076,358.0499013299999,66.30712220502913,174.30319039691003,1506.5904573014693,13667.030900000003,26.195381293794885,105.01339771010174
8.72,3861.272028897744,683.413490783428,33895.55640000001,551.1437999999998,63.22928489047573,87.7352154449711,2581.1386906111275,6485.174064478284,3335.3572350200084,427.37750906664076,358.0499013299999,66.30712220502913,174.30319039691003,1506.5904573014693,13667.030900000003,26.195381293794885,105.01339771010174
8.59,4012.6605387847835,935.4978412729282,36089.37040000001,577.4597999999999,64.29191330995288,107.04196884254202,2696.7564631304745,6750.524447805132,4324.797206435185,630.0451460416338,426.9015129399999,80.22110932104738,183.70208399564677,1555.0368648873568,14767.858300000004,26.469331933337433,107.44858964462959
9.06,3788.1434077507865,581.8011602008021,32217.6434,542.3717999999999,63.306605735919675,62.732360139299495,2463.6330420148774,6308.731660522484,2827.1390147380266,363.51825320764794,291.33484724,40.56110837773718,164.91334790722485,1455.1725479677839,12698.2236,26.713221844050675,104.78096272997306
7.8,3788.1434077507865,581.8011602008021,32217.6434,542.3717999999999,63.306605735919675,62.732360139299495,2463.6330420148774,6308.731660522484,2827.1390147380266,363.51825320764794,291.33484724,40.56110837773718,164.91334790722485,1455.1725479677839,12698.2236,26.713221844050675,104.78096272997306
9.2,4053.676787936957,969.6630738533865,37097.37539999999,590.4647999999999,64.60550454311881,106.95324243260687,2696.7564631304745,6869.010489216207,4559.937627702859,644.474101429146,425.82529365999983,80.20809022046632,185.71756093606106,1555.0368648873566,14767.858300000004,26.469331933337436,108.63187478415348
8.97,4170.266482776811,702.6403923322246,37749.7724,602.8578000000001,66.1105816318643,76.39075256128845,2610.3857988661784,7082.992927247336,3465.656892241671,443.3217524415548,378.3049423199999,47.00723635069935,215.56483107929532,1512.9463485867318,14078.211000000001,26.318649161100172,111.68560554126928
9.53,3835.1939476390567,601.6500701784282,34725.7574,563.8428,63.1227330969079,64.6050021755245,2610.3857988661784,6495.783993957025,2998.4774184521943,376.61760305395956,315.8606763199999,40.99416209059752,167.5252963643779,1512.9463485867318,14078.211000000001,26.318649161100172,105.37734356881465
9.53,4311.9028594301535,827.3884960185559,39765.782400000004,628.8678000000001,67.48652512614598,76.04844587442685,2658.5959713594066,7353.779409162563,4063.0266750370706,524.7356782362734,381.8239169999999,46.695070878576416,217.3112454810386,1531.3648134380073,14582.213500000002,26.450299516134145,114.74512770754147
2.46,2770.1741608536377,452.4384270034024,13681.029999999997,275.553,53.83820455161984,68.9631451691091,1669.9512762162585,3936.5563454189883,1483.0613669375,331.28582532267495,162.00832547,63.02255631005914,75.12605964828091,1116.2172010488825,6036.307899999998,22.794799373923777,77.84834688996291
4.11,2770.1741608536377,452.4384270034024,13681.029999999997,275.553,53.83820455161984,68.9631451691091,1669.9512762162585,3936.5563454189883,1483.0613669375,331.28582532267495,162.00832547,63.02255631005914,75.12605964828091,1116.2172010488825,6036.307899999998,22.794799373923777,77.84834688996291
4.72,2187.0593057596316,348.42201199555603,9198.214,184.05899999999997,45.898266690101835,91.07509722600032,1447.0675632337625,3043.241115331153,1019.3342310000002,255.7308911309613,185.00716542,78.75785856736772,74.00374386016615,1028.078766634659,4353.0826,19.768318297709683,62.29586849864122
5.1,2362.9782495927457,398.09197780069553,10206.219,197.06400000000002,46.759766695785025,91.31509547751399,1532.326026852494,3290.9321531041173,1198.457274,290.0680606530752,191.53409006,78.77422271920781,74.09043529560374,1066.9654194854202,4857.085099999999,20.000110085202813,64.30758238341727
3.27,2362.9782495927457,398.09197780069553,10206.219,197.06400000000002,46.759766695785025,91.31509547751399,1532.326026852494,3290.9321531041173,1198.457274,290.0680606530752,191.53409006,78.77422271920781,74.09043529560374,1066.9654194854202,4857.085099999999,20.000110085202813,64.30758238341727
2.14,2635.181326838365,470.1352861739464,11214.224,210.06900000000002,48.31090636938541,91.67803911061961,1613.0844902161202,3592.6577107539065,1426.2952910000004,347.4576026349801,199.37690705999998,78.80570298289634,75.68802660572487,1103.2070669275263,5361.087599999999,20.226650198353994,66.89334858190311
4.17,2256.2238839775573,346.64477234444814,10206.219,197.06399999999996,46.24369100208818,91.46879190383741,1532.326026852494,3205.83695250819,1069.09831325,249.63984547522483,193.48457998,78.79058515766033,75.57958949849596,1066.9654194854202,4857.085099999999,20.000110085202813,63.638865931127334
3.64,2835.83885381368,432.36849416876026,15635.527,300.441,53.90666904354346,73.57516001589406,1694.7940377899286,4230.372944513875,1577.4817566376955,292.62353973135026,193.92165887,64.04982164178594,109.93421695046595,1122.6605827417043,6258.987699999998,21.622075620274323,80.62640309476791
6.12,3676.0584014931546,694.2057097702489,22606.252,370.97399999999993,57.90751261259404,82.66197112538774,1956.828255354386,5652.032170721873,2682.665950360168,466.5725267080365,265.81102523000004,66.12309375405329,173.34355982532009,1241.3061181865776,8031.637699999997,21.84120889357651,90.13886067618115
7.19,3742.2701801315548,723.1965829054778,23614.257,383.9789999999999,58.453790489045105,82.92632150093552,2020.691797617722,5789.161045364648,2868.9212916456295,480.2669994614236,272.3379498700001,66.14630576440537,173.3805878115693,1268.4062881363202,8535.640199999996,22.031660661953218,91.54072385556057
6.44,3742.2701801315548,723.1965829054778,23614.257,383.9789999999999,58.453790489045105,82.92632150093552,2020.691797617722,5789.161045364648,2868.9212916456295,480.2669994614236,272.3379498700001,66.14630576440537,173.3805878115693,1268.4062881363202,8535.640199999996,22.031660661953218,91.54072385556057
5.34,3701.1507280425826,692.039435591315,23614.257,383.9789999999999,58.12533743900402,83.09553554768473,2020.691797617722,5741.214308741662,2729.5439594470977,463.7121551914064,274.28843979000004,66.1695087015048,174.0221536941616,1268.4062881363202,8535.640199999996,22.031660661953218,91.07219240251108
7.46,3762.4367994602903,720.3377479039287,24622.261999999995,396.98399999999987,58.662874888800545,83.50037248783107,2082.5978634786384,5872.448625483028,2915.3844350299228,476.549181265604,282.47573707000004,66.21204761243557,175.08288886514003,1294.3954281735764,9039.642699999997,22.218875451713856,92.45452539762452
4.48,3762.4367994602903,720.3377479039287,24622.261999999995,396.98399999999987,58.662874888800545,83.50037248783107,2082.5978634786384,5872.448625483028,2915.3844350299228,476.549181265604,282.47573707000004,66.21204761243557,175.08288886514003,1294.3954281735764,9039.642699999997,22.218875451713856,92.45452539762452
