Activity,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
9.2,108.63187478415348,45.77263828708152,2696.7564631304745,361.2324254475325,26.469331933337436,106.95324243260687
8.97,111.68560554126928,45.26368964291357,2610.3857988661784,239.9183590926497,26.318649161100172,76.39075256128845
9.53,105.37734356881465,45.26368964291357,2610.3857988661784,223.3181615842301,26.318649161100172,64.6050021755245
9.53,114.74512770754147,45.72837309964133,2658.5959713594066,273.5162612784566,26.450299516134145,76.04844587442685
2.46,77.84834688996291,34.79120337915893,1669.9512762162585,173.29964574997507,22.794799373923777,68.9631451691091
4.11,77.84834688996291,34.79120337915893,1669.9512762162585,173.29964574997507,22.794799373923777,68.9631451691091
4.72,62.29586849864122,28.381988841693246,1447.0675632337625,145.94462225769115,19.768318297709683,91.07509722600032
5.1,64.30758238341727,29.117345292110677,1532.326026852494,162.96304945173685,20.000110085202813,91.31509547751399
3.27,64.30758238341727,29.117345292110677,1532.326026852494,162.96304945173685,20.000110085202813,91.31509547751399
2.14,66.89334858190311,29.83458233510233,1613.0844902161202,184.11928964110535,20.226650198353994,91.67803911061961
4.17,63.638865931127334,29.117345292110677,1532.326026852494,147.19932243940082,20.000110085202813,91.46879190383741
3.64,80.62640309476791,33.183941835924195,1694.7940377899286,163.5118227335777,21.622075620274323,73.57516001589406
6.12,90.13886067618115,34.42233069113711,1956.828255354386,227.72181769614593,21.84120889357651,82.66197112538774
7.19,91.54072385556057,35.03111982880364,2020.691797617722,239.70645776185023,22.031660661953218,82.92632150093552
6.44,91.54072385556057,35.03111982880364,2020.691797617722,239.70645776185023,22.031660661953218,82.92632150093552
5.34,91.07219240251108,35.03111982880364,2020.691797617722,228.2057074362125,22.031660661953218,83.09553554768473
7.46,92.45452539762452,35.62950831417688,2082.5978634786384,239.77798627399474,22.218875451713856,83.50037248783107
4.48,92.45452539762452,35.62950831417688,2082.5978634786384,239.77798627399474,22.218875451713856,83.50037248783107
