Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
3.89,31.363856992785948,32.49652561044026,1721.9000608864555,161.28230624319806,73.61426459932883
3.22,49.795223978181035,32.49652561044026,1721.9000608864558,157.82616760210936,80.39654623178782
3.72,50.232834464912486,33.1407103575044,1794.1455737166452,166.5949013168648,82.05820757852317
4.28,51.60085652052105,34.39290181854389,1930.5427681612057,181.73092041830697,84.59535739920955
4.77,69.14547188958034,31.187211496060364,1734.329026261897,160.99562615912632,71.99896889886686
2.96,66.31741695436637,24.043104549537688,1383.8965622132057,82.667864670593,48.50487445092503
3.19,68.05736267898264,29.80062328878374,1581.0945991059612,145.66501969171293,68.39162751389968
3.48,30.18262072192864,34.1485017476609,1559.6593550119526,136.64135706597216,78.06362608795469
5.31,32.40835276461758,35.3650276984198,1714.8102937901906,155.98150446186267,80.72641934645682
5.62,31.565339535686544,35.96956836577275,1657.0395026318927,156.55558951435958,81.68457632564423
4.32,39.3035377406941,35.87303067110444,1640.3029016685364,127.57707194979496,78.90166025325449
7.92,60.70045236520145,49.76626913804169,2544.1649500341123,251.57078758149916,118.80551528864306
6.41,58.53318913549234,47.58599431145682,2377.287454929111,232.2242560961422,115.69943223715491
9.6,84.50674547872296,51.838710604238614,2862.1112562976696,331.91902746739646,136.6085242215873
8.46,62.674004540602176,51.43745297854474,2736.5762136302865,290.12683048946565,123.4112854361383
7.82,61.7162300106627,50.1808917030178,2678.7323052893557,296.38314798760183,123.69959322487685
7.92,42.539430620492325,45.0275842234513,2328.485043831946,246.03757209230736,102.28054132385104
7.0,58.6624989656838,45.48542282083349,2474.8078854262217,270.35673587055237,111.53025459712714
6.66,58.6624989656838,45.48542282083349,2474.8078854262217,270.35673587055237,111.53025459712714
7.44,62.91428004223864,43.840096730504605,2460.093180939183,205.24682836943217,102.9417041952386
9.31,66.0991416479872,46.64385403072951,2752.4842558933856,252.14665399725098,109.70232301606016
9.88,76.44527825584176,46.64385403072951,2752.4842558933856,266.29450462350235,115.70496910297327
9.05,76.91389422747474,47.09492143628654,2798.2473262646413,261.669333436164,116.43354284792677
9.28,98.36270887971772,47.11641730649733,2816.446260840241,317.2605203329924,116.48067960447348
9.28,87.7352154449711,44.81678534377495,2581.1386906111275,255.93031831326337,105.01339771010174
8.72,87.7352154449711,44.81678534377495,2581.1386906111275,255.93031831326337,105.01339771010174
8.59,107.04196884254202,45.77263828708152,2696.7564631304745,349.5903096988002,107.44858964462959
9.06,62.732360139299495,45.409119902283955,2463.6330420148774,211.43612675873882,104.78096272997306
7.8,62.732360139299495,45.409119902283955,2463.6330420148774,211.43612675873882,104.78096272997306
9.2,106.95324243260687,45.77263828708152,2696.7564631304745,361.2324254475325,108.63187478415348
8.97,76.39075256128845,45.26368964291357,2610.3857988661784,239.9183590926497,111.68560554126928
9.53,64.6050021755245,45.26368964291357,2610.3857988661784,223.3181615842301,105.37734356881465
9.53,76.04844587442685,45.72837309964133,2658.5959713594066,273.5162612784566,114.74512770754147
2.46,68.9631451691091,34.79120337915893,1669.9512762162585,173.29964574997507,77.84834688996291
4.11,68.9631451691091,34.79120337915893,1669.9512762162585,173.29964574997507,77.84834688996291
4.72,91.07509722600032,28.381988841693246,1447.0675632337625,145.94462225769115,62.29586849864122
5.1,91.31509547751399,29.117345292110677,1532.326026852494,162.96304945173685,64.30758238341727
3.27,91.31509547751399,29.117345292110677,1532.326026852494,162.96304945173685,64.30758238341727
2.14,91.67803911061961,29.83458233510233,1613.0844902161202,184.11928964110535,66.89334858190311
4.17,91.46879190383741,29.117345292110677,1532.326026852494,147.19932243940082,63.638865931127334
3.64,73.57516001589406,33.183941835924195,1694.7940377899286,163.5118227335777,80.62640309476791
6.12,82.66197112538774,34.42233069113711,1956.828255354386,227.72181769614593,90.13886067618115
7.19,82.92632150093552,35.03111982880364,2020.691797617722,239.70645776185023,91.54072385556057
6.44,82.92632150093552,35.03111982880364,2020.691797617722,239.70645776185023,91.54072385556057
5.34,83.09553554768473,35.03111982880364,2020.691797617722,228.2057074362125,91.07219240251108
7.46,83.50037248783107,35.62950831417688,2082.5978634786384,239.77798627399474,92.45452539762452
4.48,83.50037248783107,35.62950831417688,2082.5978634786384,239.77798627399474,92.45452539762452
