Activity,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
5.1,29.117345292110677,162.96304945173685,1066.9654194854202,20.000110085202813
3.27,29.117345292110677,162.96304945173685,1066.9654194854202,20.000110085202813
2.14,29.83458233510233,184.11928964110535,1103.2070669275263,20.226650198353994
4.17,29.117345292110677,147.19932243940082,1066.9654194854202,20.000110085202813
3.64,33.183941835924195,163.5118227335777,1122.6605827417043,21.622075620274323
6.12,34.42233069113711,227.72181769614593,1241.3061181865776,21.84120889357651
7.19,35.03111982880364,239.70645776185023,1268.4062881363202,22.031660661953218
6.44,35.03111982880364,239.70645776185023,1268.4062881363202,22.031660661953218
5.34,35.03111982880364,228.2057074362125,1268.4062881363202,22.031660661953218
7.46,35.62950831417688,239.77798627399474,1294.3954281735764,22.218875451713856
4.48,35.62950831417688,239.77798627399474,1294.3954281735764,22.218875451713856
