Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
2.96,66.31741695436637,17.389834514517673,1383.8965622132057,48.50487445092503,82.667864670593,24.043104549537688
3.19,68.05736267898264,20.210351997433982,1581.0945991059612,68.39162751389968,145.66501969171293,29.80062328878374
3.48,30.18262072192864,22.604004990912365,1559.6593550119526,78.06362608795469,136.64135706597216,34.1485017476609
5.31,32.40835276461758,22.957196920035898,1714.8102937901906,80.72641934645682,155.98150446186267,35.3650276984198
5.62,31.565339535686544,23.278009029568086,1657.0395026318927,81.68457632564423,156.55558951435958,35.96956836577275
4.32,39.3035377406941,23.5385225447577,1640.3029016685364,78.90166025325449,127.57707194979496,35.87303067110444
7.92,60.70045236520145,28.443887838160077,2544.1649500341123,118.80551528864306,251.57078758149916,49.76626913804169
6.41,58.53318913549234,27.762678649961813,2377.287454929111,115.69943223715491,232.2242560961422,47.58599431145682
9.6,84.50674547872296,28.904145582868434,2862.1112562976696,136.6085242215873,331.91902746739646,51.838710604238614
8.46,62.674004540602176,28.88996379025341,2736.5762136302865,123.4112854361383,290.12683048946565,51.43745297854474
7.82,61.7162300106627,28.458517592346503,2678.7323052893557,123.69959322487685,296.38314798760183,50.1808917030178
7.92,42.539430620492325,26.494803745988076,2328.485043831946,102.28054132385104,246.03757209230736,45.0275842234513
7.0,58.6624989656838,26.51166308567721,2474.8078854262217,111.53025459712714,270.35673587055237,45.48542282083349
6.66,58.6624989656838,26.51166308567721,2474.8078854262217,111.53025459712714,270.35673587055237,45.48542282083349
7.44,62.91428004223864,25.915577641248014,2460.093180939183,102.9417041952386,205.24682836943217,43.840096730504605
9.31,66.0991416479872,26.709738835167403,2752.4842558933856,109.70232301606016,252.14665399725098,46.64385403072951
9.88,76.44527825584176,26.709738835167403,2752.4842558933856,115.70496910297327,266.29450462350235,46.64385403072951
9.05,76.91389422747474,26.837589613902626,2798.2473262646413,116.43354284792677,261.669333436164,47.09492143628654
9.28,98.36270887971772,26.846836616044296,2816.446260840241,116.48067960447348,317.2605203329924,47.11641730649733
9.28,87.7352154449711,26.195381293794885,2581.1386906111275,105.01339771010174,255.93031831326337,44.81678534377495
8.72,87.7352154449711,26.195381293794885,2581.1386906111275,105.01339771010174,255.93031831326337,44.81678534377495
8.59,107.04196884254202,26.469331933337433,2696.7564631304745,107.44858964462959,349.5903096988002,45.77263828708152
9.06,62.732360139299495,26.713221844050675,2463.6330420148774,104.78096272997306,211.43612675873882,45.409119902283955
7.8,62.732360139299495,26.713221844050675,2463.6330420148774,104.78096272997306,211.43612675873882,45.409119902283955
9.2,106.95324243260687,26.469331933337436,2696.7564631304745,108.63187478415348,361.2324254475325,45.77263828708152
8.97,76.39075256128845,26.318649161100172,2610.3857988661784,111.68560554126928,239.9183590926497,45.26368964291357
9.53,64.6050021755245,26.318649161100172,2610.3857988661784,105.37734356881465,223.3181615842301,45.26368964291357
9.53,76.04844587442685,26.450299516134145,2658.5959713594066,114.74512770754147,273.5162612784566,45.72837309964133
2.46,68.9631451691091,22.794799373923777,1669.9512762162585,77.84834688996291,173.29964574997507,34.79120337915893
4.11,68.9631451691091,22.794799373923777,1669.9512762162585,77.84834688996291,173.29964574997507,34.79120337915893
4.72,91.07509722600032,19.768318297709683,1447.0675632337625,62.29586849864122,145.94462225769115,28.381988841693246
5.1,91.31509547751399,20.000110085202813,1532.326026852494,64.30758238341727,162.96304945173685,29.117345292110677
3.27,91.31509547751399,20.000110085202813,1532.326026852494,64.30758238341727,162.96304945173685,29.117345292110677
2.14,91.67803911061961,20.226650198353994,1613.0844902161202,66.89334858190311,184.11928964110535,29.83458233510233
4.17,91.46879190383741,20.000110085202813,1532.326026852494,63.638865931127334,147.19932243940082,29.117345292110677
3.64,73.57516001589406,21.622075620274323,1694.7940377899286,80.62640309476791,163.5118227335777,33.183941835924195
6.12,82.66197112538774,21.84120889357651,1956.828255354386,90.13886067618115,227.72181769614593,34.42233069113711
7.19,82.92632150093552,22.031660661953218,2020.691797617722,91.54072385556057,239.70645776185023,35.03111982880364
6.44,82.92632150093552,22.031660661953218,2020.691797617722,91.54072385556057,239.70645776185023,35.03111982880364
5.34,83.09553554768473,22.031660661953218,2020.691797617722,91.07219240251108,228.2057074362125,35.03111982880364
7.46,83.50037248783107,22.218875451713856,2082.5978634786384,92.45452539762452,239.77798627399474,35.62950831417688
4.48,83.50037248783107,22.218875451713856,2082.5978634786384,92.45452539762452,239.77798627399474,35.62950831417688
