Activity,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
3.22,32.49652561044026,1721.9000608864558,157.82616760210936,49.795223978181035,80.39654623178782,21.23417559862383
3.72,33.1407103575044,1794.1455737166452,166.5949013168648,50.232834464912486,82.05820757852317,21.435519057835872
4.28,34.39290181854389,1930.5427681612057,181.73092041830697,51.60085652052105,84.59535739920955,21.82723356024138
4.77,31.187211496060364,1734.329026261897,160.99562615912632,69.14547188958034,71.99896889886686,20.649488719071464
2.96,24.043104549537688,1383.8965622132057,82.667864670593,66.31741695436637,48.50487445092503,17.389834514517673
3.19,29.80062328878374,1581.0945991059612,145.66501969171293,68.05736267898264,68.39162751389968,20.210351997433982
3.48,34.1485017476609,1559.6593550119526,136.64135706597216,30.18262072192864,78.06362608795469,22.604004990912365
5.31,35.3650276984198,1714.8102937901906,155.98150446186267,32.40835276461758,80.72641934645682,22.957196920035898
5.62,35.96956836577275,1657.0395026318927,156.55558951435958,31.565339535686544,81.68457632564423,23.278009029568086
4.32,35.87303067110444,1640.3029016685364,127.57707194979496,39.3035377406941,78.90166025325449,23.5385225447577
7.92,49.76626913804169,2544.1649500341123,251.57078758149916,60.70045236520145,118.80551528864306,28.443887838160077
6.41,47.58599431145682,2377.287454929111,232.2242560961422,58.53318913549234,115.69943223715491,27.762678649961813
9.6,51.838710604238614,2862.1112562976696,331.91902746739646,84.50674547872296,136.6085242215873,28.904145582868434
8.46,51.43745297854474,2736.5762136302865,290.12683048946565,62.674004540602176,123.4112854361383,28.88996379025341
7.82,50.1808917030178,2678.7323052893557,296.38314798760183,61.7162300106627,123.69959322487685,28.458517592346503
7.92,45.0275842234513,2328.485043831946,246.03757209230736,42.539430620492325,102.28054132385104,26.494803745988076
7.0,45.48542282083349,2474.8078854262217,270.35673587055237,58.6624989656838,111.53025459712714,26.51166308567721
6.66,45.48542282083349,2474.8078854262217,270.35673587055237,58.6624989656838,111.53025459712714,26.51166308567721
7.44,43.840096730504605,2460.093180939183,205.24682836943217,62.91428004223864,102.9417041952386,25.915577641248014
9.31,46.64385403072951,2752.4842558933856,252.14665399725098,66.0991416479872,109.70232301606016,26.709738835167403
9.88,46.64385403072951,2752.4842558933856,266.29450462350235,76.44527825584176,115.70496910297327,26.709738835167403
9.05,47.09492143628654,2798.2473262646413,261.669333436164,76.91389422747474,116.43354284792677,26.837589613902626
9.28,47.11641730649733,2816.446260840241,317.2605203329924,98.36270887971772,116.48067960447348,26.846836616044296
9.28,44.81678534377495,2581.1386906111275,255.93031831326337,87.7352154449711,105.01339771010174,26.195381293794885
8.72,44.81678534377495,2581.1386906111275,255.93031831326337,87.7352154449711,105.01339771010174,26.195381293794885
8.59,45.77263828708152,2696.7564631304745,349.5903096988002,107.04196884254202,107.44858964462959,26.469331933337433
9.06,45.409119902283955,2463.6330420148774,211.43612675873882,62.732360139299495,104.78096272997306,26.713221844050675
7.8,45.409119902283955,2463.6330420148774,211.43612675873882,62.732360139299495,104.78096272997306,26.713221844050675
9.2,45.77263828708152,2696.7564631304745,361.2324254475325,106.95324243260687,108.63187478415348,26.469331933337436
8.97,45.26368964291357,2610.3857988661784,239.9183590926497,76.39075256128845,111.68560554126928,26.318649161100172
9.53,45.26368964291357,2610.3857988661784,223.3181615842301,64.6050021755245,105.37734356881465,26.318649161100172
9.53,45.72837309964133,2658.5959713594066,273.5162612784566,76.04844587442685,114.74512770754147,26.450299516134145
2.46,34.79120337915893,1669.9512762162585,173.29964574997507,68.9631451691091,77.84834688996291,22.794799373923777
4.11,34.79120337915893,1669.9512762162585,173.29964574997507,68.9631451691091,77.84834688996291,22.794799373923777
4.72,28.381988841693246,1447.0675632337625,145.94462225769115,91.07509722600032,62.29586849864122,19.768318297709683
5.1,29.117345292110677,1532.326026852494,162.96304945173685,91.31509547751399,64.30758238341727,20.000110085202813
3.27,29.117345292110677,1532.326026852494,162.96304945173685,91.31509547751399,64.30758238341727,20.000110085202813
2.14,29.83458233510233,1613.0844902161202,184.11928964110535,91.67803911061961,66.89334858190311,20.226650198353994
4.17,29.117345292110677,1532.326026852494,147.19932243940082,91.46879190383741,63.638865931127334,20.000110085202813
3.64,33.183941835924195,1694.7940377899286,163.5118227335777,73.57516001589406,80.62640309476791,21.622075620274323
6.12,34.42233069113711,1956.828255354386,227.72181769614593,82.66197112538774,90.13886067618115,21.84120889357651
7.19,35.03111982880364,2020.691797617722,239.70645776185023,82.92632150093552,91.54072385556057,22.031660661953218
6.44,35.03111982880364,2020.691797617722,239.70645776185023,82.92632150093552,91.54072385556057,22.031660661953218
5.34,35.03111982880364,2020.691797617722,228.2057074362125,83.09553554768473,91.07219240251108,22.031660661953218
7.46,35.62950831417688,2082.5978634786384,239.77798627399474,83.50037248783107,92.45452539762452,22.218875451713856
4.48,35.62950831417688,2082.5978634786384,239.77798627399474,83.50037248783107,92.45452539762452,22.218875451713856
