Activity,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
8.59,228.05117570998667,45.77263828708152,1555.0368648873568,107.44858964462959,26.469331933337433
9.06,128.7333540446334,45.409119902283955,1455.1725479677839,104.78096272997306,26.713221844050675
7.8,128.7333540446334,45.409119902283955,1455.1725479677839,104.78096272997306,26.713221844050675
9.2,233.33017053666998,45.77263828708152,1555.0368648873566,108.63187478415348,26.469331933337436
8.97,146.87856790648476,45.26368964291357,1512.9463485867318,111.68560554126928,26.318649161100172
9.53,135.8378095742703,45.26368964291357,1512.9463485867318,105.37734356881465,26.318649161100172
9.53,167.88065131565986,45.72837309964133,1531.3648134380073,114.74512770754147,26.450299516134145
2.46,121.26511938006665,34.79120337915893,1116.2172010488825,77.84834688996291,22.794799373923777
4.11,121.26511938006665,34.79120337915893,1116.2172010488825,77.84834688996291,22.794799373923777
4.72,103.78854413275127,28.381988841693246,1028.078766634659,62.29586849864122,19.768318297709683
5.1,114.96471162556757,29.117345292110677,1066.9654194854202,64.30758238341727,20.000110085202813
3.27,114.96471162556757,29.117345292110677,1066.9654194854202,64.30758238341727,20.000110085202813
2.14,129.59220518366521,29.83458233510233,1103.2070669275263,66.89334858190311,20.226650198353994
4.17,102.79625119488573,29.117345292110677,1066.9654194854202,63.638865931127334,20.000110085202813
3.64,108.33751970595091,33.183941835924195,1122.6605827417043,80.62640309476791,21.622075620274323
6.12,147.0569408334065,34.42233069113711,1241.3061181865776,90.13886067618115,21.84120889357651
7.19,153.62407995137758,35.03111982880364,1268.4062881363202,91.54072385556057,22.031660661953218
6.44,153.62407995137758,35.03111982880364,1268.4062881363202,91.54072385556057,22.031660661953218
5.34,146.26901669919818,35.03111982880364,1268.4062881363202,91.07219240251108,22.031660661953218
7.46,152.3309282069793,35.62950831417688,1294.3954281735764,92.45452539762452,22.218875451713856
4.48,152.3309282069793,35.62950831417688,1294.3954281735764,92.45452539762452,22.218875451713856
